"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"12521",10650.8954873524,4.63832584992461,0.112287028191779,0,0
"20661",8727.71390252429,4.91676143455548,0.145161041031659,1.10024478621578e-252,9.09352315807339e-249
"22249",4022.8689001596,4.53135988108576,0.13447345771076,3.35686495853362e-250,1.84963259215202e-246
"242505",4322.24408091494,6.64981349885546,0.201725894466885,2.12558051015168e-239,8.78396145820183e-236
"50722",2837.33865977456,6.69272530651531,0.204594951266077,5.35923358660995e-236,1.77176262373325e-232
"218518",2764.86492189027,4.78686476683371,0.15300344127039,7.25845357165405e-216,1.99970395899069e-212
"21804",2682.78826305064,-6.13680846266868,0.196865820505838,4.1965580369344e-214,9.90987205007508e-211
"67451",2121.11657339068,5.06692007044511,0.168234352324898,1.90295982796045e-200,3.93199074452328e-197
"18826",3430.51269927528,4.43082833693637,0.149048059682838,2.94343447647559e-195,5.40610798846017e-192
"224912",1542.88828497528,3.72588981379569,0.125968402090428,3.1066395336918e-193,5.13527514919255e-190
"78896",2114.53430807222,-6.60438425056429,0.226574790803854,2.18822822359932e-185,3.28831023055425e-182
"20743",3908.46751587801,5.10237063717275,0.17788050335957,4.09491225956804e-182,5.64074163755497e-179
"16669",89679.0229271388,5.50785812539041,0.197899577057205,1.32699794483666e-171,1.68732892524231e-168
"214968",2853.28241627696,-5.95790251322488,0.214434882042269,2.97420252232087e-169,3.51168340671171e-166
"53624",7654.54488332967,5.33337111807412,0.193207253549065,6.71461017779075e-169,7.39950041592541e-166
"19253",1693.70478922299,4.50016478499433,0.164773078663558,3.62146896360999e-165,3.74143012302957e-162
"16950",970.601540816484,-5.41064136864512,0.200133502380797,5.28129866050222e-162,5.13528628577069e-159
"269132",1336.45312598956,-4.73912950327279,0.175557628109215,1.8082838626273e-161,1.6606073471794e-158
"77579",4865.0433212793,-3.47951311781453,0.129104123686628,7.15806613167207e-161,6.2275175345547e-158
"114479",8971.69231584548,7.05666189037927,0.26291665179674,6.69922938852084e-160,5.53691308961247e-157
"16324",7240.12104199995,4.39590973371523,0.164052029475163,2.8017141129148e-159,2.20534925173722e-156
"71740",3611.16024142512,5.72551796092768,0.216601201405667,3.6142168117282e-155,2.71559108626669e-152
"107515",4165.77593935168,-3.19731308518097,0.121614753661701,4.91763399458263e-153,3.53428217088917e-150
"70737",4153.28297921801,5.68516239546311,0.21661800097026,6.35310044647837e-153,4.37569793251198e-150
"238257",3983.65676814199,3.94669172560337,0.150432406822093,1.00537742370238e-152,6.64755552552013e-150
"66813",1553.1433192388,6.50569780695791,0.249223796323755,1.94691053197811e-151,1.23778581129223e-148
"66871",2416.45104082513,-4.34210947581837,0.167679944674281,4.70666512017869e-149,2.88152497913162e-146
"227960",1389.26343434957,4.80565901485162,0.186022178160058,2.5976798867508e-148,1.53355887599967e-145
"18260",3549.55078818548,5.36863291263467,0.20878409316611,5.32832155904582e-147,3.03714328865612e-144
"21814",8733.5916660907,-5.17051643569858,0.201504283361012,8.01837128179804e-146,4.41812257627072e-143
"237175",773.267270139423,-4.46081336467989,0.174724663623441,1.85005450910295e-144,9.86496807595865e-142
"70350",4102.13904863315,5.39397484246846,0.212412475910313,2.24015260394793e-143,1.15717882947685e-140
"230678",883.056768673626,3.98604592554646,0.157496513303175,2.33269365836793e-142,1.16846745978248e-139
"68339",1745.98160274144,3.91143884100277,0.154905256755619,1.11053550283709e-141,5.39916231232265e-139
"105853",2569.04298483702,5.07378244519951,0.201657521700971,6.99049592897725e-141,3.26872666259142e-138
"22351",4243.56043692631,6.48712240667846,0.257874949790778,7.11882394756753e-141,3.26872666259142e-138
"108927",3379.15358976258,-5.78956721389129,0.230364096734775,5.14753835036169e-140,2.29969753868861e-137
"353499",9153.27330899762,3.53062850188016,0.141277379905423,8.05507494822615e-139,3.50395760247838e-136
"13717",10560.0776635859,-6.26924441231946,0.252717106516496,3.28716972610865e-137,1.39325424545067e-134
"100038347",2415.08524606558,5.36505598318704,0.217395536575559,9.79434572622857e-136,4.04751337136396e-133
