"gene","log2FC_LP","padj_LP","padj_manual_LP","log2FC_ML","padj_ML","padj_manual_ML"
"12521",4.10512470268143,1.26117173050076e-288,1.26117173050076e-288,4.63832584992461,0,0
"218518",5.22429186171498,7.57846326599019e-253,7.57846326599019e-253,4.78686476683371,1.99970395899069e-212,1.99970395899069e-212
"19253",5.59500977788534,6.51760718955993e-252,6.51760718955993e-252,4.50016478499433,3.74143012302957e-162,3.74143012302957e-162
"67451",5.66649197530724,7.90780957197828e-247,7.90780957197828e-247,5.06692007044511,3.93199074452328e-197,3.93199074452328e-197
"22249",4.34894804995234,1.78434129934936e-226,1.78434129934936e-226,4.53135988108576,1.84963259215202e-246,1.84963259215202e-246
"224912",3.97512592351049,8.10630258929582e-216,8.10630258929582e-216,3.72588981379569,5.13527514919255e-190,5.13527514919255e-190
"50722",6.29748389992834,2.74224851183832e-205,2.74224851183832e-205,6.69272530651531,1.77176262373325e-232,1.77176262373325e-232
"242505",6.07672194932093,1.38553679762136e-196,1.38553679762136e-196,6.64981349885546,8.78396145820183e-236,8.78396145820183e-236
"227960",5.52025135120752,3.36004903728315e-192,3.36004903728315e-192,4.80565901485162,1.53355887599967e-145,1.53355887599967e-145
"14245",3.76328935123213,4.36093160097089e-184,4.36093160097089e-184,2.26291569163955,1.0176662069771e-66,1.0176662069771e-66
"16324",4.73362359780441,4.45239738593607e-181,4.45239738593607e-181,4.39590973371523,2.20534925173722e-156,2.20534925173722e-156
"18826",4.26799246737537,9.64883368509326e-178,9.64883368509326e-178,4.43082833693637,5.40610798846017e-192,5.40610798846017e-192
"70350",6.0210053579138,5.6586650303013e-175,5.6586650303013e-175,5.39397484246846,1.15717882947685e-140,1.15717882947685e-140
"320007",6.30086035396084,2.43008276727801e-174,2.43008276727801e-174,5.3691027062215,1.65503185060573e-126,1.65503185060573e-126
"20743",5.00772342640557,4.84573062915798e-172,4.84573062915798e-172,5.10237063717275,5.64074163755497e-179,5.64074163755497e-179
"53624",5.37661161710789,1.7032202431177e-168,1.7032202431177e-168,5.33337111807412,7.39950041592541e-166,7.39950041592541e-166
"18260",5.75871023046271,9.46407712873294e-166,9.46407712873294e-166,5.36863291263467,3.03714328865612e-144,3.03714328865612e-144
"269132",-4.9685223256588,4.80685261954903e-161,4.80685261954903e-161,-4.73912950327279,1.6606073471794e-158,1.6606073471794e-158
"66871",-4.66373770084121,4.80685261954903e-161,4.80685261954903e-161,-4.34210947581837,2.88152497913162e-146,2.88152497913162e-146
"21804",-5.17635235811621,9.48824989233969e-160,9.48824989233969e-160,-6.13680846266868,9.90987205007508e-211,9.90987205007508e-211
"228543",6.27465148370405,9.88246388149383e-156,9.88246388149383e-156,5.39865585728502,1.14942345165431e-115,1.14942345165431e-115
"105853",5.37425607983464,7.03098650676001e-155,7.03098650676001e-155,5.07378244519951,3.26872666259142e-138,3.26872666259142e-138
"12759",5.30910307426759,2.9692256771227e-151,2.9692256771227e-151,4.5229194970521,1.31456695758473e-109,1.31456695758473e-109
"20661",3.82149539459246,2.22843336123397e-150,2.22843336123397e-150,4.91676143455548,9.09352315807339e-249,9.09352315807339e-249
"208943",5.61901563396731,8.26199076563566e-149,8.26199076563566e-149,5.01326335665847,1.32063333661805e-118,1.32063333661805e-118
"70737",5.62138269640009,1.15565870946071e-146,1.15565870946071e-146,5.68516239546311,4.37569793251198e-150,4.37569793251198e-150
"27375",5.5332097245321,1.74243799392438e-146,1.74243799392438e-146,4.84544137759523,1.31965999358898e-112,1.31965999358898e-112
"26943",3.37685323593011,2.48969935834404e-143,2.48969935834404e-143,2.8673555402075,8.27995313850581e-104,8.27995313850581e-104
"78896",-5.56590874695556,2.07594815910962e-141,2.07594815910962e-141,-6.60438425056429,3.28831023055425e-182,3.28831023055425e-182
"229722",6.4406856822285,2.96303641596995e-139,2.96303641596995e-139,4.99800160713647,5.84371510452631e-84,5.84371510452631e-84
"72097",5.69402964961472,8.87298217339179e-139,8.87298217339179e-139,4.92096513228348,8.08620947800458e-104,8.08620947800458e-104
"15439",6.27990942975608,1.07053174471335e-135,1.07053174471335e-135,5.82366910657775,6.61115588305898e-117,6.61115588305898e-117
"234779",4.1534023374598,1.85799595059534e-133,1.85799595059534e-133,3.551635091592,6.75869769110267e-98,6.75869769110267e-98
"353499",3.4836983861758,2.00773765724445e-132,2.00773765724445e-132,3.53062850188016,3.50395760247838e-136,3.50395760247838e-136
"230678",3.85862319665364,1.05345037495497e-129,1.05345037495497e-129,3.98604592554646,1.16846745978248e-139,1.16846745978248e-139
"11600",6.64272096915336,8.96434507968098e-129,8.96434507968098e-129,4.50300798669347,6.75287574463374e-60,6.75287574463374e-60
"13661",5.91692794506724,2.44148729544713e-122,2.44148729544713e-122,4.46737171975081,1.76483531664416e-70,1.76483531664416e-70
"216892",5.51119622783628,5.0008909634078e-122,5.0008909634078e-122,3.9445736104691,2.50139495592905e-63,2.50139495592905e-63
"16950",-4.47348903386083,1.02267158280882e-119,1.02267158280882e-119,-5.41064136864512,5.13528628577069e-159,5.13528628577069e-159
"22354",4.05945524155287,1.35686532433001e-119,1.35686532433001e-119,3.64425213736367,8.46731267104414e-97,8.46731267104414e-97
"74002",-5.74146044387916,4.71549855927446e-119,4.71549855927446e-119,-7.03197966527731,5.52200888930967e-126,5.52200888930967e-126
"19329",5.17272018894906,2.59007678827879e-118,2.59007678827879e-118,5.01318892870423,8.7686022498291e-112,8.7686022498291e-112
"170643",-4.7868357977528,3.19572495913752e-117,3.19572495913752e-117,-5.01854298854833,3.5999233288491e-129,3.5999233288491e-129
"16669",4.57027835231883,2.0396920486001e-116,2.0396920486001e-116,5.50785812539041,1.68732892524231e-168,1.68732892524231e-168
"72281",5.72552457987997,6.73346706089226e-116,6.73346706089226e-116,5.08527638099159,1.53697305318679e-91,1.53697305318679e-91
"77579",-2.95634851707675,4.26876545068919e-115,4.26876545068919e-115,-3.47951311781453,6.2275175345547e-158,6.2275175345547e-158
"53972",4.02312167287404,5.44062036939546e-115,5.44062036939546e-115,4.254185345675,9.42431164901831e-130,9.42431164901831e-130
"67182",5.99360768764121,5.53308422231906e-115,5.53308422231906e-115,4.87794534491614,5.86826976199092e-76,5.86826976199092e-76
"21414",-4.55381490624945,1.2477755135528e-114,1.2477755135528e-114,-4.04023917546959,1.42903411909205e-94,1.42903411909205e-94
"18585",5.89180799797936,8.44147821212184e-114,8.44147821212184e-114,3.60919861851105,2.67280139898184e-43,2.67280139898184e-43
"170722",5.4669166857329,9.22213851033157e-114,9.22213851033157e-114,5.3491506582589,2.48316387921974e-109,2.48316387921974e-109
"268935",-6.72125361865233,3.20803869723919e-112,3.20803869723919e-112,-6.04400317482176,2.14369298200959e-109,2.14369298200959e-109
"235627",3.68753600537271,5.51172698571351e-112,5.51172698571351e-112,3.96915426832464,1.67409793433431e-130,1.67409793433431e-130
"233066",4.2441249330866,6.54514205775695e-111,6.54514205775695e-111,3.72435995398866,9.45707243868144e-86,9.45707243868144e-86
"320405",3.85553744928672,7.41573727096997e-111,7.41573727096997e-111,3.88644057744722,1.60873608862942e-112,1.60873608862942e-112
"19280",-3.64823962888826,1.48815487643369e-110,1.48815487643369e-110,-3.34695975863874,6.3118790214236e-94,6.3118790214236e-94
"13036",4.51974368216915,6.93506558500706e-110,6.93506558500706e-110,3.40483578751724,7.57440263430915e-63,7.57440263430915e-63
"100038347",4.8548551332686,7.58569245962925e-109,7.58569245962925e-109,5.36505598318704,4.04751337136396e-133,4.04751337136396e-133
"226519",-3.09068918756913,4.0180094326169e-108,4.0180094326169e-108,-2.61860202507228,7.13230471065421e-78,7.13230471065421e-78
"432995",5.75259514554962,4.34124021208196e-108,4.34124021208196e-108,5.73698307345796,4.08812155748811e-108,4.08812155748811e-108
"20528",-5.12235936603915,1.20362726567895e-107,1.20362726567895e-107,-5.1568883385778,3.37207427541228e-115,3.37207427541228e-115
"13711",6.21228914410411,1.91639331535379e-107,1.91639331535379e-107,4.13550321884899,1.60710458183679e-48,1.60710458183679e-48
"12725",3.62160628483268,3.70825652951674e-107,3.70825652951674e-107,3.58235721398287,3.9854310875985e-105,3.9854310875985e-105
"12709",-4.71652113349906,2.76622891590192e-106,2.76622891590192e-106,-4.98545359228437,4.01932068736112e-120,4.01932068736112e-120
"16668",5.05852100503972,1.11816642433281e-105,1.11816642433281e-105,5.00059667956705,1.87054573586662e-103,1.87054573586662e-103
"21898",4.76522083382062,1.72698487007206e-105,1.72698487007206e-105,3.26694197548464,4.77896888283012e-50,4.77896888283012e-50
"192120",4.90823664149872,3.97819604261792e-105,3.97819604261792e-105,5.14206058571678,2.76035417367804e-116,2.76035417367804e-116
"14233",6.84560614906872,1.11130909967745e-103,1.11130909967745e-103,4.81368114214437,6.16798550553296e-52,6.16798550553296e-52
"66060",4.80870920778938,2.62705353493437e-103,2.62705353493437e-103,5.36039208684007,6.48836152436619e-129,6.48836152436619e-129
"12740",5.31805855619658,6.1694603650481e-103,6.1694603650481e-103,5.71566947066442,9.09815815998299e-119,9.09815815998299e-119
"12737",6.1497342698581,2.89448023733968e-102,2.89448023733968e-102,3.94973147549937,3.29329067926483e-43,3.29329067926483e-43
"26557",2.89513194690859,2.14891857797674e-101,2.14891857797674e-101,2.68849907575795,7.28690399826518e-88,7.28690399826518e-88
"17919",3.73840709978265,3.24758584365734e-101,3.24758584365734e-101,3.95275721624672,1.34625572271755e-113,1.34625572271755e-113
"15552",-5.56748582181434,7.98672334310465e-100,7.98672334310465e-100,-4.59831744708096,5.69475837209731e-85,5.69475837209731e-85
"72685",5.30132640744791,1.99538086939868e-99,1.99538086939868e-99,4.46397319396814,1.17288930235157e-70,1.17288930235157e-70
"71740",4.61929905653149,3.06132813770647e-99,3.06132813770647e-99,5.72551796092768,2.71559108626669e-152,2.71559108626669e-152
"18143",4.99568144268719,1.1729455443737e-97,1.1729455443737e-97,3.75150599591729,4.89643359848244e-55,4.89643359848244e-55
